Date,PM25,pm25cnc,pm10cnc,temp,rh
2020-11-01 00:00:00,93.06,,,,
2020-11-01 01:00:00,86.58,,,,
2020-11-01 02:00:00,52.68,,,,
2020-11-01 03:00:00,43.48,,,,
2020-11-01 04:00:00,35.55,,,,
2020-11-01 05:00:00,30.36,,,,
2020-11-01 06:00:00,38.4,,,,
2020-11-01 07:00:00,39.93,,,,
2020-11-01 08:00:00,43.72,,,,
2020-11-01 09:00:00,44.0,,,,
2020-11-01 10:00:00,33.77,,,,
2020-11-01 11:00:00,31.14,,,,
2020-11-01 12:00:00,37.49,,,,
2020-11-01 13:00:00,51.96,,,,
2020-11-01 14:00:00,58.58,,,,
2020-11-01 15:00:00,70.13,,,,
2020-11-01 16:00:00,71.93,,,,
2020-11-01 17:00:00,61.77,,,,
2020-11-01 18:00:00,59.14,,,,
2020-11-01 19:00:00,74.77,,,,
2020-11-01 20:00:00,125.17,,,,
2020-11-01 21:00:00,129.93,,,,
2020-11-01 22:00:00,142.1,,,,
2020-11-01 23:00:00,95.54,,,,
2020-11-02 00:00:00,72.52,,,,
2020-11-02 01:00:00,79.38,,,,
2020-11-02 02:00:00,72.56,,,,
2020-11-02 03:00:00,74.79,,,,
2020-11-02 04:00:00,65.72,,,,
2020-11-02 05:00:00,65.93,,,,
2020-11-02 06:00:00,66.0,,,,
2020-11-02 07:00:00,64.14,,,,
2020-11-02 08:00:00,66.78,,,,
2020-11-02 09:00:00,74.42,,,,
2020-11-02 10:00:00,73.14,,,,
2020-11-02 11:00:00,59.04,,,,
2020-11-02 12:00:00,68.2,,,,
2020-11-02 13:00:00,67.14,,,,
2020-11-02 14:00:00,69.79,,,,
2020-11-02 15:00:00,73.72,,,,
2020-11-02 16:00:00,78.65,,,,
2020-11-02 17:00:00,79.93,,,,
2020-11-02 18:00:00,85.57,,,,
2020-11-02 19:00:00,121.25,,,,
2020-11-02 20:00:00,183.38,,,,
2020-11-02 21:00:00,166.6,,,,
2020-11-02 22:00:00,160.35,,,,
2020-11-02 23:00:00,121.03,,,,
2020-11-03 00:00:00,116.14,,,,
2020-11-03 01:00:00,92.73,,,,
2020-11-03 02:00:00,88.21,,,,
2020-11-03 03:00:00,79.62,,,,
2020-11-03 04:00:00,69.69,,,,
2020-11-03 05:00:00,69.93,,,,
2020-11-03 06:00:00,74.67,,,,
2020-11-03 07:00:00,71.29,,,,
2020-11-03 08:00:00,85.89,,,,
2020-11-03 09:00:00,83.29,,,,
2020-11-03 10:00:00,79.29,,,,
2020-11-03 11:00:00,69.61,,,,
2020-11-03 12:00:00,,,,,
2020-11-03 13:00:00,,,,,
2020-11-03 14:00:00,,,,,
2020-11-03 15:00:00,,,,,
2020-11-03 16:00:00,77.0,,,,
2020-11-03 17:00:00,70.5,,,,
2020-11-03 18:00:00,87.63,,,,
2020-11-03 19:00:00,90.86,,,,
2020-11-03 20:00:00,84.5,,,,
2020-11-03 21:00:00,125.88,,,,
2020-11-03 22:00:00,134.58,,,,
2020-11-03 23:00:00,117.32,,,,
2020-11-04 00:00:00,116.0,,,,
2020-11-04 01:00:00,88.17,,,,
2020-11-04 02:00:00,69.3,,,,
2020-11-04 03:00:00,65.21,,,,
2020-11-04 04:00:00,65.93,,,,
2020-11-04 05:00:00,61.35,,,,
2020-11-04 06:00:00,56.36,,,,
2020-11-04 07:00:00,61.58,,,,
2020-11-04 08:00:00,64.79,,,,
2020-11-04 09:00:00,67.78,,,,
2020-11-04 10:00:00,67.07,,,,
2020-11-04 11:00:00,63.29,,,,
2020-11-04 12:00:00,63.93,,,,
2020-11-04 13:00:00,64.93,,,,
2020-11-04 14:00:00,104.08,,,,
2020-11-04 15:00:00,65.25,,,,
2020-11-04 16:00:00,56.43,,,,
2020-11-04 17:00:00,62.49,,,,
